imdbid,role,talentid
1424381,actor,0004778
0360717,actor,0004778
0427969,actor,0004778
0253474,actor,0004778
1017460,actor,0004778
1247667,actor,0004778
0127288,actor,0004778
0162677,actor,0004778
0366627,actor,0004778
0119502,actor,0004778
0368447,actor,0004778
2278388,actor,0004778
0368933,actor,0000267
0298148,actor,0000267
0808510,actor,0000267
0892791,actor,0000267
1323594,actor,0000267
0413267,actor,0000267
0247638,actor,0000267
0208874,actor,0000260
0452608,actor,0000260
0365885,actor,0000260
0119094,actor,0000260
0372183,actor,0000260
0119349,actor,0000260
0113987,actor,0000260
0440963,actor,0000260
0115988,actor,0000260
0120789,actor,0000260
0865554,actor,0000107
1661382,actor,0000107
0337921,actor,0000107
0443632,actor,0000107
0163983,actor,0000107
0167203,actor,0000107
1438254,actor,0000107
0348593,actor,0000107
0298203,actor,0000107
0119488,actor,0000107
0844286,actor,0452860
1663662,actor,0452860
0421054,actor,0594898
0490196,actor,0594898
0929632,actor,0594898
0275022,actor,0000101
0118747,actor,0000101
0117608,actor,0000101
2103254,actor,0000101
0114694,actor,0000101
0119229,actor,0000101
0884224,actor,0000101
2473602,actor,0000101
0120587,actor,0000101
0388419,actor,0000101
0200720,actor,0000101
0117119,actor,0000101
0762107,actor,0000101
1302067,actor,0000101
0884726,actor,0000101
0160401,actor,0001804
0846308,actor,0001804
0458352,actor,0001804
0115678,actor,0001804
0380510,actor,0001804
0358135,actor,0001804
2109248,actor,0001804
0113500,actor,0001804
0246464,actor,0001804
1392170,actor,0001804
0486674,actor,0001804
0362227,actor,0001804
0358082,actor,0001804
1615147,actor,0001804
1135503,actor,0001804
0482603,actor,0001804
0252076,actor,0001804
1351685,actor,0001804
0140379,actor,0001804
1655442,actor,0241121
0289848,actor,0001550
0170452,actor,0001550
0112642,actor,0001550
0120683,actor,0001550
0142201,actor,0001550
2333804,actor,0910607
1853728,actor,0910607
1126590,actor,0910607
0990407,actor,0910607
0361748,actor,0910607
1067583,actor,0910607
0477347,actor,0001682
0134630,actor,0316079
0119951,actor,0316079
0429589,actor,0316079
0443543,actor,0316079
0375063,actor,0316079
0486583,actor,0316079
2345112,actor,0316079
1480656,actor,0316079
0824758,actor,0316079
1124035,actor,0316079
0133152,actor,0316079
0489237,actor,0316079
1135487,actor,0316079
0265298,actor,0316079
0208003,actor,0316079
1127877,actor,0316079
1860353,actor,0316079
0452637,actor,0316079
0465602,actor,0316079
0352248,actor,0316079
0338337,actor,0316079
0213446,actor,0001689
