award,imdbid,kind,talentid,year
0,0097499,N,0000110,1990
0,0096969,N,0000129,1990
0,0097239,N,0000151,1990
0,0097165,N,0000245,1990
4,0097239,W,0005573,1990
4,0097239,W,0005572,1990
4,0097937,N,0669348,1990
1,0097441,W,0000243,1990
1,0097243,N,0000008,1990
1,0097123,N,0001445,1990
1,0097216,N,0000732,1990
1,0097239,N,0000101,1990
2,0097239,W,0001788,1990
2,0094828,N,0000254,1990
2,0098319,N,0172604,1990
2,0100211,N,0001448,1990
2,0097322,N,0000201,1990
3,0097937,W,0002084,1990
3,0097276,N,0001378,1990
3,0097276,N,0000565,1990
3,0098384,N,0000210,1990
3,0098067,N,0001848,1990
0,0102926,W,0000164,1992
0,0101516,N,0000886,1992
0,0101540,N,0000134,1992
0,0102713,N,0000560,1992
0,0101889,N,0000245,1992
4,0102926,W,0768324,1992
4,0102926,W,0882588,1992
4,0102926,W,0102508,1992
4,0102713,N,0000659,1992
4,0102713,N,0440140,1992
1,0101587,W,0001588,1992
1,0102138,N,0000169,1992
1,0101516,N,0000172,1992
1,0101516,N,0001426,1992
1,0101410,N,0503627,1992
2,0102926,W,0000149,1992
2,0101902,N,0000541,1992
2,0103074,N,0000215,1992
2,0103074,N,0000133,1992
2,0102753,N,0000368,1992
3,0101889,W,0001689,1992
3,0102753,N,0002663,1992
3,0101540,N,0000496,1992
3,0102713,N,0625075,1992
3,0101921,N,0001788,1992
0,0107818,W,0000158,1994
0,0107207,N,0000358,1994
0,0108551,N,0000401,1994
0,0107943,N,0000164,1994
0,0108052,N,0000553,1994
4,0108052,W,0000229,1994
4,0108052,W,0596520,1994
4,0108052,W,0527322,1994
4,0107943,N,0001566,1994
4,0107943,N,0130492,1994
4,0107943,N,0580337,1994
1,0106977,W,0000169,1994
1,0107206,N,0000518,1994
1,0107207,N,0000592,1994
1,0108550,N,0000138,1994
1,0108052,N,0000146,1994
2,0485477,W,0000456,1994
2,0108551,N,0000291,1994
2,0108149,N,0000330,1994
2,0107943,N,0000668,1994
2,0108101,N,0000700,1994
3,0485477,W,0001593,1994
3,0106918,N,0000456,1994
3,0106881,N,0001609,1994
3,0106226,N,0000213,1994
3,0107207,N,0000668,1994
0,0113627,W,0000115,1996
0,0113862,N,0000377,1996
0,0113987,N,0000164,1996
0,0112818,N,0000576,1996
0,0110877,N,0873385,1996
4,0112573,W,0000154,1996
4,0112573,W,0000042,1996
4,0112573,W,0480440,1996
4,0112573,W,0202704,1996
4,0114388,N,0233386,1996
1,0114814,W,0000228,1996
1,0112384,N,0000438,1996
1,0114746,N,0000093,1996
1,0114287,N,0000619,1996
1,0112431,N,0000342,1996
2,0112818,W,0000215,1996
2,0113627,N,0000223,1996
2,0112641,N,0000232,1996
2,0112579,N,0000658,1996
2,0114388,N,0000668,1996
3,0113819,W,0000227,1996
